"","HHID","PIDLINK","mudah.bergaul","kesehatan","status.ekonomi","ketaatan","jenis.kelamin","usia","status.perkawinan","pekerjaan","pendidikan","daerah","use.internet","partisipasi.masy"
"1436","0130700","013070004","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Perempuan",30,"Kawin","Ya","Perguruan Tinggi","Desa","Tidak Menggunakan Internet","Tidak"
"1442","0130841","013080004","Sangat Mudah Bergaul","Kurang Sehat","Sedang","Agak taat","Perempuan",26,"Kawin","Tidak","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"1449","0130951","013090003","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Laki-laki",19,"Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
"1456","0131051","013100003","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",26,"Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
"1467","0131251","013120003","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",17,"Kawin","Tidak","SMA/Sederajat","Kota","Menggunakan Internet","Tidak"
"1488","0131500","013150003","Sangat Mudah Bergaul","Sehat","Sedang","Tidak taat","Perempuan",18,"Kawin","Tidak","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"1494","0131641","013164101","Sangat Mudah Bergaul","Sangat Sehat","Tinggi","Tidak taat","Laki-laki",28,"Kawin","Ya","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"1498","0131700","013170003","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Laki-laki",17,"Kawin","Ya","Perguruan Tinggi","Desa","Menggunakan Internet","Ya"
"1503","0131951","013190004","Sangat Mudah Bergaul","Sehat","Rendah","Taat","Laki-laki",22,"Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Ya"
"1515","0141000","014100005","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",26,"Kawin","Ya","SMA/Sederajat","Kota","Menggunakan Internet","Tidak"
"1527","0141300","014130007","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",24,"Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
"1535","0141441","014144102","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",28,"Kawin","Ya","Perguruan Tinggi","Kota","Tidak Menggunakan Internet","Tidak"
"1542","0141851","014180003","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Perempuan",23,"Kawin","Ya","Perguruan Tinggi","Kota","Menggunakan Internet","Tidak"
"1567","0150600","015060003","Sangat Mudah Bergaul","Sangat Sehat","Sedang","Taat","Perempuan",17,"Belum Kawin","Ya","Perguruan Tinggi","Kota","Menggunakan Internet","Ya"
"1572","0150700","015070004","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",21,"Kawin","Ya","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"1602","0151400","015140003","Sangat Mudah Bergaul","Kurang Sehat","Sedang","Agak taat","Laki-laki",18,"Belum Kawin","Ya","Perguruan Tinggi","Kota","Menggunakan Internet","Tidak"
"1607","0151500","015150003","Sangat Mudah Bergaul","Sehat","Rendah","Taat","Laki-laki",20,"Belum Kawin","Ya","Perguruan Tinggi","Kota","Menggunakan Internet","Tidak"
"1611","0151600","015160003","Sangat Mudah Bergaul","Sehat","Sedang","Sangat taat","Perempuan",29,"Kawin","Ya","Perguruan Tinggi","Kota","Menggunakan Internet","Tidak"
"1614","0151600","015160009","Sangat Mudah Bergaul","Kurang Sehat","Rendah","Agak taat","Laki-laki",22,"Belum Kawin","Ya","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Ya"
"1623","0151800","015180003","Sangat Mudah Bergaul","Sehat","Tinggi","Sangat taat","Laki-laki",19,"Belum Kawin","Ya","Perguruan Tinggi","Kota","Menggunakan Internet","Ya"
"1660","0160741","016070003","Sangat Mudah Bergaul","Sangat Sehat","Sedang","Agak taat","Laki-laki",25,"Kawin","Ya","SMA/Sederajat","Kota","Menggunakan Internet","Ya"
"1669","0161351","016130010","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",26,"Kawin","Ya","Perguruan Tinggi","Kota","Menggunakan Internet","Tidak"
"1670","0161352","016130011","Sangat Mudah Bergaul","Sehat","Rendah","Taat","Perempuan",23,"Kawin","Ya","Perguruan Tinggi","Kota","Menggunakan Internet","Tidak"
"1678","0161322","016132207","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Perempuan",26,"Kawin","Ya","Perguruan Tinggi","Desa","Menggunakan Internet","Tidak"
"1712","0170432","017043202","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Perempuan",28,"Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
"1745","0170951","017090006","Sangat Mudah Bergaul","Sangat Sehat","Sedang","Sangat taat","Perempuan",17,"Belum Kawin","Ya","SMA/Sederajat","Kota","Menggunakan Internet","Ya"
"1749","0171041","017100003","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",30,"Kawin","Ya","Perguruan Tinggi","Kota","Menggunakan Internet","Ya"
"1756","0171241","017120003","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",23,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"1781","0171642","017160007","Sangat Mudah Bergaul","Kurang Sehat","Rendah","Agak taat","Laki-laki",27,"Kawin","Ya","Di bawah SMA","Kota","Tidak Menggunakan Internet","Ya"
"1807","0171800","017180003","Sangat Mudah Bergaul","Sangat Sehat","Sedang","Taat","Perempuan",28,"Kawin","Tidak","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"1809","0171842","017180006","Sangat Mudah Bergaul","Sangat Sehat","Sedang","Sangat taat","Perempuan",24,"Kawin","Ya","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"1810","0171843","017180007","Sangat Mudah Bergaul","Sehat","Sedang","Tidak taat","Perempuan",22,"Kawin","Tidak","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
"1830","0180200","018020005","Sangat Mudah Bergaul","Sehat","Rendah","Agak taat","Laki-laki",21,"Belum Kawin","Ya","Di bawah SMA","Kota","Tidak Menggunakan Internet","Ya"
"1831","0180252","018020007","Tidak Mudah Bergaul","Sehat","Rendah","Agak taat","Perempuan",16,"Kawin","Tidak","Di bawah SMA","Kota","Tidak Menggunakan Internet","Tidak"
"1838","0180351","018030003","Mudah Bergaul","Sehat","Sedang","Sangat taat","Perempuan",30,"Kawin","Tidak","Di bawah SMA","Kota","Tidak Menggunakan Internet","Tidak"
"1846","0180400","018040007","Mudah Bergaul","Sehat","Rendah","Agak taat","Laki-laki",24,"Kawin","Ya","Di bawah SMA","Kota","Tidak Menggunakan Internet","Tidak"
"1851","0180432","018043204","Sangat Mudah Bergaul","Sehat","Rendah","Agak taat","Laki-laki",24,"Kawin","Ya","Di bawah SMA","Kota","Tidak Menggunakan Internet","Tidak"
"1853","0180531","018053104","Sangat Mudah Bergaul","Sehat","Rendah","Agak taat","Perempuan",24,"Kawin","Ya","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"1857","0180631","018060005","Sangat Mudah Bergaul","Sangat Sehat","Tinggi","Taat","Perempuan",30,"Kawin","Ya","Perguruan Tinggi","Kota","Tidak Menggunakan Internet","Tidak"
"1858","0180652","018060006","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",27,"Belum Kawin","Ya","Perguruan Tinggi","Kota","Tidak Menggunakan Internet","Tidak"
"1884","0181100","018110003","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Laki-laki",22,"Kawin","Ya","Perguruan Tinggi","Kota","Tidak Menggunakan Internet","Tidak"
"1892","0181441","018140003","Sangat Mudah Bergaul","Kurang Sehat","Sedang","Agak taat","Laki-laki",25,"Kawin","Ya","Di bawah SMA","Kota","Tidak Menggunakan Internet","Tidak"
"1893","0181400","018140004","Sangat Mudah Bergaul","Kurang Sehat","Sedang","Agak taat","Perempuan",22,"Kawin","Ya","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"1898","0181541","018150003","Sangat Mudah Bergaul","Sehat","Rendah","Agak taat","Perempuan",24,"Kawin","Tidak","Di bawah SMA","Kota","Tidak Menggunakan Internet","Tidak"
"1899","0181500","018150004","Mudah Bergaul","Sehat","Sedang","Agak taat","Laki-laki",17,"Belum Kawin","Ya","Di bawah SMA","Kota","Tidak Menggunakan Internet","Ya"
"1904","0181600","018160004","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",28,"Kawin","Ya","Perguruan Tinggi","Kota","Menggunakan Internet","Tidak"
"1905","0181652","018160005","Mudah Bergaul","Sehat","Sedang","Agak taat","Perempuan",23,"Kawin","Ya","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"1911","0181700","018170004","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",23,"Belum Kawin","Ya","Perguruan Tinggi","Kota","Menggunakan Internet","Tidak"
"1934","0190931","019090003","Sangat Mudah Bergaul","Sangat Sehat","Tinggi","Taat","Perempuan",20,"Kawin","Ya","Perguruan Tinggi","Kota","Menggunakan Internet","Tidak"
"1935","0190951","019090004","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",18,"Kawin","Ya","Perguruan Tinggi","Kota","Menggunakan Internet","Ya"
"1993","0201700","020170003","Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",23,"Belum Kawin","Ya","SMA/Sederajat","Kota","Menggunakan Internet","Ya"
"1994","0201751","020170004","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Perempuan",20,"Kawin","Tidak","SMA/Sederajat","Kota","Menggunakan Internet","Tidak"
"1998","0201841","020180002","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Perempuan",24,"Kawin","Tidak","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Tidak"
"2042","0210752","021070004","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",21,"Kawin","Ya","Perguruan Tinggi","Desa","Tidak Menggunakan Internet","Tidak"
"2062","0211342","021130006","Sangat Mudah Bergaul","Kurang Sehat","Sedang","Agak taat","Perempuan",22,"Kawin","Ya","Di bawah SMA","Kota","Tidak Menggunakan Internet","Tidak"
"2066","0211341","021134101","Sangat Mudah Bergaul","Sangat Sehat","Tinggi","Agak taat","Laki-laki",27,"Kawin","Ya","Di bawah SMA","Kota","Tidak Menggunakan Internet","Tidak"
"2067","0211342","021134201","Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",27,"Kawin","Ya","Di bawah SMA","Kota","Tidak Menggunakan Internet","Tidak"
"2068","0211343","021134301","Sangat Mudah Bergaul","Sangat Sehat","Sedang","Taat","Laki-laki",29,"Kawin","Ya","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"2072","0211400","021140003","Sangat Mudah Bergaul","Sangat Sehat","Sedang","Agak taat","Laki-laki",17,"Belum Kawin","Ya","Di bawah SMA","Kota","Menggunakan Internet","Ya"
"2089","0211700","021170012","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Laki-laki",28,"Kawin","Ya","Di bawah SMA","Kota","Tidak Menggunakan Internet","Ya"
"2092","0211741","021174102","Sangat Mudah Bergaul","Kurang Sehat","Sedang","Agak taat","Perempuan",25,"Kawin","Tidak","Di bawah SMA","Desa","Tidak Menggunakan Internet","Ya"
"2103","0211951","021190003","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",23,"Kawin","Tidak","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"2105","0211900","021190005","Sangat Mudah Bergaul","Sangat Sehat","Sedang","Taat","Perempuan",18,"Kawin","Ya","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"2119","0220200","022020009","Mudah Bergaul","Kurang Sehat","Rendah","Agak taat","Laki-laki",24,"Belum Kawin","Ya","Di bawah SMA","Kota","Tidak Menggunakan Internet","Tidak"
"2123","0220541","022050003","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",28,"Kawin","Ya","Perguruan Tinggi","Kota","Tidak Menggunakan Internet","Tidak"
"2125","0220542","022050005","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",24,"Kawin","Tidak","Perguruan Tinggi","Kota","Menggunakan Internet","Ya"
"2130","0220541","022054101","Sangat Mudah Bergaul","Sangat Sehat","Sedang","Taat","Laki-laki",28,"Kawin","Ya","Perguruan Tinggi","Kota","Tidak Menggunakan Internet","Tidak"
"2134","0220651","022060003","Sangat Mudah Bergaul","Sangat Sehat","Sedang","Agak taat","Perempuan",18,"Kawin","Tidak","SMA/Sederajat","Kota","Menggunakan Internet","Tidak"
"2160","0221051","022100004","Sangat Mudah Bergaul","Sangat Sehat","Sedang","Agak taat","Laki-laki",26,"Kawin","Ya","SMA/Sederajat","Kota","Menggunakan Internet","Ya"
"2264","0231752","023170005","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",26,"Kawin","Ya","Perguruan Tinggi","Kota","Menggunakan Internet","Tidak"
"2265","0231753","023170006","Sangat Mudah Bergaul","Sehat","Sedang","Sangat taat","Perempuan",24,"Kawin","Ya","Perguruan Tinggi","Kota","Menggunakan Internet","Tidak"
"2281","0240332","024030003","Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",30,"Kawin","Ya","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"2287","0240351","024030010","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Perempuan",20,"Kawin","Ya","Di bawah SMA","Kota","Tidak Menggunakan Internet","Tidak"
"2289","0240341","024034102","Sangat Mudah Bergaul","Sehat","Rendah","Agak taat","Perempuan",24,"Kawin","Tidak","Di bawah SMA","Kota","Tidak Menggunakan Internet","Tidak"
"2298","0240400","024040012","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",28,"Kawin","Tidak","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"2311","0240741","024070005","Mudah Bergaul","Sehat","Sedang","Agak taat","Laki-laki",19,"Kawin","Ya","SMA/Sederajat","Kota","Menggunakan Internet","Tidak"
"2315","0240800","024080007","Sangat Mudah Bergaul","Sehat","Rendah","Agak taat","Laki-laki",26,"Kawin","Ya","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"2345","0241431","024140002","Mudah Bergaul","Sangat Sehat","Sedang","Taat","Laki-laki",23,"Kawin","Ya","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"2349","0241431","024143108","Sangat Mudah Bergaul","Sehat","Tinggi","Sangat taat","Perempuan",23,"Kawin","Tidak","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"2381","0240200","024200003","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Perempuan",28,"Kawin","Ya","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Ya"
"2394","0242241","024220004","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",26,"Kawin","Ya","Perguruan Tinggi","Kota","Menggunakan Internet","Tidak"
"2398","0242351","024230003","Sangat Mudah Bergaul","Sehat","Rendah","Agak taat","Laki-laki",19,"Kawin","Ya","Di bawah SMA","Kota","Tidak Menggunakan Internet","Tidak"
"2414","0242851","024280007","Mudah Bergaul","Sehat","Sedang","Agak taat","Perempuan",22,"Kawin","Ya","Di bawah SMA","Kota","Tidak Menggunakan Internet","Tidak"
"2439","0250600","025060003","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Laki-laki",26,"Kawin","Ya","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"2447","0250731","025070003","Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",28,"Kawin","Tidak","Perguruan Tinggi","Kota","Menggunakan Internet","Tidak"
"2451","0250800","025080004","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",28,"Kawin","Tidak","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"2452","0250851","025080005","Sangat Mudah Bergaul","Sehat","Sedang","Sangat taat","Perempuan",25,"Kawin","Ya","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"2479","0251251","025120003","Sangat Mudah Bergaul","Sehat","Tinggi","Taat","Perempuan",28,"Kawin","Tidak","Perguruan Tinggi","Kota","Tidak Menggunakan Internet","Tidak"
"2480","0251252","025120004","Mudah Bergaul","Sehat","Rendah","Taat","Laki-laki",25,"Kawin","Ya","Perguruan Tinggi","Desa","Menggunakan Internet","Tidak"
"2488","0251331","025130002","Sangat Mudah Bergaul","Sehat","Rendah","Agak taat","Perempuan",30,"Kawin","Tidak","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"2492","0251300","025130006","Sangat Mudah Bergaul","Sehat","Rendah","Agak taat","Laki-laki",30,"Kawin","Ya","Di bawah SMA","Kota","Tidak Menggunakan Internet","Tidak"
"2499","0251551","025150003","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Perempuan",16,"Kawin","Tidak","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"2511","0251651","025160007","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Perempuan",25,"Kawin","Ya","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"2512","0251641","025164102","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",24,"Kawin","Ya","Di bawah SMA","Kota","Tidak Menggunakan Internet","Tidak"
"2513","0251642","025164202","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Perempuan",25,"Kawin","Ya","SMA/Sederajat","Kota","Menggunakan Internet","Ya"
"2522","0251800","025180005","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Laki-laki",18,"Kawin","Ya","Di bawah SMA","Kota","Tidak Menggunakan Internet","Tidak"
"2542","0261800","026180005","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Laki-laki",20,"Belum Kawin","Ya","Perguruan Tinggi","Kota","Menggunakan Internet","Tidak"
"2544","0264151","026410002","Sangat Mudah Bergaul","Sangat Sehat","Sedang","Taat","Laki-laki",25,"Kawin","Ya","Perguruan Tinggi","Kota","Menggunakan Internet","Tidak"
"2545","0264100","026410005","Sangat Mudah Bergaul","Sangat Sehat","Sedang","Agak taat","Laki-laki",16,"Belum Kawin","Ya","Perguruan Tinggi","Kota","Menggunakan Internet","Tidak"
"2548","0270100","027010002","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Perempuan",17,"Kawin","Ya","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"2573","0270612","027060008","Mudah Bergaul","Sangat Sehat","Sedang","Taat","Perempuan",29,"Kawin","Ya","Di bawah SMA","Kota","Tidak Menggunakan Internet","Tidak"
"2587","0270742","027070004","Sangat Mudah Bergaul","Sehat","Rendah","Agak taat","Laki-laki",27,"Kawin","Ya","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Ya"
"2589","0270700","027070009","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Perempuan",16,"Kawin","Ya","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"2598","0270831","027080007","Sangat Mudah Bergaul","Sehat","Sedang","Sangat taat","Perempuan",30,"Kawin","Ya","Di bawah SMA","Kota","Tidak Menggunakan Internet","Tidak"
"2606","0270900","027090003","Sangat Mudah Bergaul","Sehat","Sedang","Taat","Perempuan",24,"Kawin","Ya","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"2607","0270900","027090004","Sangat Mudah Bergaul","Sangat Sehat","Sedang","Taat","Perempuan",20,"Kawin","Tidak","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"2620","0270944","027094402","Sangat Mudah Bergaul","Sehat","Sedang","Sangat taat","Perempuan",24,"Kawin","Ya","Di bawah SMA","Kota","Tidak Menggunakan Internet","Tidak"
"2625","0271052","027100008","Sangat Mudah Bergaul","Sehat","Rendah","Taat","Laki-laki",29,"Kawin","Ya","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Ya"
"2631","0271151","027110010","Sangat Mudah Bergaul","Tidak Sehat","Rendah","Agak taat","Perempuan",24,"Kawin","Tidak","Di bawah SMA","Desa","Tidak Menggunakan Internet","Tidak"
"2638","0271211","027121104","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Perempuan",26,"Kawin","Ya","Di bawah SMA","Kota","Tidak Menggunakan Internet","Tidak"
"2669","0272041","027200006","Sangat Mudah Bergaul","Sehat","Tinggi","Taat","Perempuan",22,"Kawin","Ya","Di bawah SMA","Kota","Tidak Menggunakan Internet","Tidak"
"2692","0272500","027250010","Sangat Mudah Bergaul","Sehat","Rendah","Taat","Perempuan",29,"Kawin","Tidak","Di bawah SMA","Kota","Tidak Menggunakan Internet","Tidak"
"2701","0272600","027260010","Sangat Mudah Bergaul","Sehat","Rendah","Taat","Perempuan",25,"Kawin","Ya","Di bawah SMA","Kota","Tidak Menggunakan Internet","Tidak"
"2734","0274351","027430003","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Perempuan",26,"Kawin","Ya","Perguruan Tinggi","Kota","Tidak Menggunakan Internet","Tidak"
"2735","0274331","027430004","Sangat Mudah Bergaul","Sangat Sehat","Sedang","Taat","Laki-laki",24,"Kawin","Ya","Perguruan Tinggi","Desa","Tidak Menggunakan Internet","Tidak"
"2743","0274341","027434103","Sangat Mudah Bergaul","Sehat","Sedang","Agak taat","Perempuan",20,"Kawin","Ya","SMA/Sederajat","Kota","Tidak Menggunakan Internet","Tidak"
"2752","0280100","028010010","Sangat Mudah Bergaul","Sehat","Tinggi","Taat","Perempuan",19,"Belum Kawin","Ya","Perguruan Tinggi","Desa","Menggunakan Internet","Ya"
"2772","0280500","028050003","Sangat Mudah Bergaul","Sehat","Sedang","Sangat taat","Laki-laki",19,"Belum Kawin","Ya","SMA/Sederajat","Desa","Tidak Menggunakan Internet","Ya"
